id_mission,biome,num_question,bonne_reponse,id_oiseaux,URL_bonne_reponse,mauvaise_reponse,id_oiseaux
L02,Milieu littoral,1,Grand gravelot,214,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPluvier%20grand-gravelot.wav?alt=media&token=ad9a4e3b-0790-4b5b-aec9-f9c7a39306cf,,214
L02,Milieu littoral,2,Mouette mélanocéphale,,,,
L02,Milieu littoral,3,Tournepierre à collier,251,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FTournepierre%20%C3%A0%20collier.wav?alt=media&token=91297d59-e88b-433d-9633-ad988b9fa660,,251
L02,Milieu littoral,4,Bécasseau violet,,,,
L02,Milieu littoral,5,Pluvier argenté,212,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPluvier%20argent%C3%A9.wav?alt=media&token=bf075508-af2a-4d18-9c33-41aeb0e53d64,,212
L02,Milieu littoral,6,pluvier grand-gravelot,214,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPluvier%20grand-gravelot.wav?alt=media&token=ad9a4e3b-0790-4b5b-aec9-f9c7a39306cf,,214
L02,Milieu littoral,7,Pluvier à collier interrompu,211,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPluvier%20%C3%A0%20collier%20interrompu.wav?alt=media&token=1d66cbc5-cfa9-453c-921c-d5e333b6b56e,,211
L02,Milieu littoral,8,Courlis corlieu,75,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FCourlis%20corlieu.wav?alt=media&token=dcd792a0-5c46-4f18-832f-e3d7d728041c,,75
L02,Milieu littoral,9,Barge rousse,13,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FBarge%20rousse.wav?alt=media&token=358782fb-d40a-497a-af0d-2303a3469a71,,13
L02,Milieu littoral,10,Bécasseau sanderling,16,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FB%C3%A9casseau%20sanderling.wav?alt=media&token=c509c510-6d29-4e80-b6d9-46f76d09d136,,16
L02,Milieu littoral,11,Bécasseau variable,18,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FB%C3%A9casseau%20variable.wav?alt=media&token=880d8d15-642a-4123-bbbc-a0c5473a2871,,18
L02,Milieu littoral,12,Glaréole à ailes noires,,,,
L02,Milieu littoral,13,Avocette élégante,10,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FAvocette%20%C3%A9l%C3%A9gante.mp3?alt=media&token=6dda0278-0ada-4cef-8b5f-4454cecea8da,,10
L02,Milieu littoral,14,Hirondelle de rivage,142,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FHirondelle%20de%20rivage.wav?alt=media&token=ec2ad55d-7ddf-4816-8b0e-d1bc704ab1c6,,142
L02,Milieu littoral,15,Pipit maritime,209,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPipit%20maritime.mp3?alt=media&token=cbff6d1f-6cd9-47e1-b0e7-2df0d66c868b,,209
,,,,,,Grand gravelot,
,,,,,,Mouette mélanocéphale,
,,,,,,Tournepierre à collier,
,,,,,,Bécasseau violet,
,,,,,,Pluvier argenté,
,,,,,,pluvier grand-gravelot,
,,,,,,Pluvier à collier interrompu,
,,,,,,Courlis corlieu,
,,,,,,Barge rousse,
,,,,,,Bécasseau sanderling,
,,,,,,Bécasseau variable,
,,,,,,Glaréole à ailes noires,
,,,,,,Avocette élégante,
,,,,,,Hirondelle de rivage,
,,,,,,Pipit maritime,
,,,,,,Bécasseau tacheté,
,,,,,,Pluvier doré,
,,,,,,Combattant varié,
,,,,,,Barge à queue noire,
,,,,,,Courlis cendré,
,,,,,,Pluvier petit-gravelot,
,,,,,,Bécasse des bois,
,,,,,,Canard colvert,
,,,,,,Canard mandarin,
,,,,,,Cigogne blanche,
,,,,,,Cygne tuberculé,
,,,,,,Échasse blanche,
,,,,,,Érismature rousse,
,,,,,,Œdicnème criard,
,,,,,,Aigrette garzette,
