id_mission,biome,num_question,bonne_reponse,id_oiseaux,URL_bonne_reponse,mauvaise_reponse,id_oiseaux
L01,Milieu littoral,1,Puffin fuligineux,220,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPuffin%20fuligineux.wav?alt=media&token=ff116303-0aff-4076-b117-fea3f609eb30,,220
L01,Milieu littoral,2,Puffin de Scopoli,,lien manquant,,
L01,Milieu littoral,3,Mouette tridactyle,179,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FMouette%20tridactyle.wav?alt=media&token=172c7ded-da4c-4fbf-8e88-c0c068f53caf,,179
L01,Milieu littoral,4,Goéland brun,112,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FGo%C3%A9land%20brun.wav?alt=media&token=627db18b-ba69-4629-8f39-7ff936d990c1,,112
L01,Milieu littoral,5,Huîtrier pie,146,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FHu%C3%AEtrier%20pie.wav?alt=media&token=d87c60a3-db8a-4e44-a8cc-4a9277bdb143,,146
L01,Milieu littoral,6,Guillemot de Troïl,132,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FGuillemot%20de%20Tro%C3%AFl.wav?alt=media&token=370852fb-1968-4240-bc3f-5fbd1143093a,,132
L01,Milieu littoral,7,Pingouin torda,204,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPingouin%20torda.wav?alt=media&token=84024161-76e4-4536-96da-7a7ef5f64c68,,204
L01,Milieu littoral,8,Fou de Bassan,101,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FFou%20de%20Bassan.wav?alt=media&token=c5103604-ac02-492e-b131-90173a25037d,,101
L01,Milieu littoral,9,Sterne caugek,242,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FSterne%20caugek.wav?alt=media&token=9e6a2be5-1b96-4f99-8f37-668aa60f21bd,,242
L01,Milieu littoral,10,Labbe parasite,,,,
L01,Milieu littoral,11,Sterne hansel,,,,
L01,Milieu littoral,12,Eider à duvet,83,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FEider%20%C3%A0%20duvet.wav?alt=media&token=3dd5ac1c-ff10-4db7-8844-dcb1ba4c5c9e,,83
L01,Milieu littoral,13,Macreuse noire,157,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FMacreuse%20noire.wav?alt=media&token=7addc061-a510-4f83-9c02-fc4276f504af,,157
L01,Milieu littoral,14,Macareux moine,156,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FMacareux%20moine.wav?alt=media&token=b887e835-0de6-4f0b-bfd9-f6462de2611b,,156
L01,Milieu littoral,15,Plongeon imbrin,210,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPlongeon%20imbrin.wav?alt=media&token=ccd65358-eb48-4ec1-8b34-0b0db5bd77da,,210
,,,,,,Puffin fuligineux,
,,,,,,Puffin de Scopoli,
,,,,,,Mouette tridactyle,
,,,,,,Goéland brun,
,,,,,,Huîtrier pie,
,,,,,,Guillemot de Troïl,
,,,,,,Pingouin torda,
,,,,,,Fou de Bassan,
,,,,,,Sterne caugek,
,,,,,,Labbe parasite,
,,,,,,Sterne hansel,
,,,,,,Eider à duvet,
,,,,,,Macreuse noire,
,,,,,,Macareux moine,
,,,,,,Plongeon imbrin,
,,,,,,Goéland argenté,
,,,,,,Goéland cendré,
,,,,,,Goéland dominicain,
,,,,,,Goéland marin,
,,,,,,Mouette rieuse,
,,,,,,Sterne arctique,
,,,,,,Sterne caspienne,
,,,,,,Sterne de Dougall,
,,,,,,Sterne naine,
,,,,,,Sterne pierregarin,
,,,,,,Aigrette garzette,
,,,,,,Albatros à sourcils noirs,
,,,,,,Avocette élégante,
,,,,,,Balbuzard pêcheur,
,,,,,,Barge à queue noire,
