id_mission,biome,num_question,bonne_reponse,id_oiseaux,URL_bonne_reponse,mauvaise_reponse,id_oiseaux
A03,Milieu agricole,1,Linotte mélodieuse,260,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FLinotte%20m%C3%A9lodieuse.mp3?alt=media&token=fd4aa24f-5eee-431e-959d-548d9a7e0f65,,
A03,Milieu agricole,2,Engoulevent d'Europe,85,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FEngoulevent%20d'Europe.wav?alt=media&token=466205ed-50f2-4d37-ad8d-07fc8a02025f,,85
A03,Milieu agricole,3,Pie-grièche écorcheur,200,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPie-gri%C3%A8che%20%C3%A9corcheur%20(2).mp3?alt=media&token=d30c3c44-9d68-4547-8163-02a55cb525a2,,200
A03,Milieu agricole,4,Moineau friquet,175,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FMoineau%20friquet.wav?alt=media&token=f6f7638b-d98c-4351-9a3e-afea44c5f374,,175
A03,Milieu agricole,5,Alouette calandrelle,6,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FAlouette%20calandrelle.wav?alt=media&token=9ce99208-a543-48f8-9412-d2f142abf0ee,,6
A03,Milieu agricole,6,Perdrix grise,186,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPerdrix%20grise.mp3?alt=media&token=713d57fb-7c0e-4136-95b9-fe60d8348668,,186
A03,Milieu agricole,7,Colin de Virginie,66,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FColin%20de%20Virginie.wav?alt=media&token=30b21565-fef0-4a79-b4ff-916fac999051,,66
A03,Milieu agricole,8,Caille des blés,43,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FCaille%20des%20bl%C3%A9s.mp3?alt=media&token=71765284-be87-43f3-858d-0d577d40b280,,43
A03,Milieu agricole,9,Fauvette mélanocéphale,98,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FFauvette%20m%C3%A9lanoc%C3%A9phale.wav?alt=media&token=4d40be40-4527-4309-8d43-9c551e5999ab,,98
A03,Milieu agricole,10,Bouscarle de Cetti,30,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FBouscarle%20de%20Cetti%20bis.wav?alt=media&token=84a7844d-25d8-4b61-8801-e9f4c2f2e3b4,,30
A03,Milieu agricole,11,Alouette calandre,5,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FAlouette%20calandre.wav?alt=media&token=7ac6bb8a-7968-4223-a21e-7154d8cbd490,,5
A03,Milieu agricole,12,Bruant proyer,37,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FBruant%20proyer.wav?alt=media&token=ba901c4d-14f8-46c7-a3b0-594e175382fa,,37
A03,Milieu agricole,13,Cochevis huppé,65,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FCochevis%20hupp%C3%A9.wav?alt=media&token=5ee6a108-a418-497d-b27f-d8596fa97b55,,65
A03,Milieu agricole,14,Fauvette babillarde,95,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FFauvette%20babillarde.wav?alt=media&token=f6c351d1-4888-4c3d-932c-85691afa45d6,,95
A03,Milieu agricole,15,Hypolaïs polyglotte,148,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FHypola%C3%AFs%20polyglotte.mp3?alt=media&token=0e13ca3c-528f-4000-bc15-88a2304447f0,,148
,,,,,,Linotte mélodieuse,
,,,,,,Engoulevent d'Europe,
,,,,,,Pie-grièche écorcheur,
,,,,,,Moineau friquet,
,,,,,,Alouette calandrelle,
,,,,,,Perdrix grise,
,,,,,,Colin de Virginie,
,,,,,,Caille des blés,
,,,,,,Fauvette mélanocéphale,
,,,,,,Bouscarle de Cetti,
,,,,,,Alouette calandre,
,,,,,,Bruant proyer,
,,,,,,Cochevis huppé,
,,,,,,Fauvette babillarde,
,,,,,,Hypolaïs polyglotte,
,,,,,,Fauvette à lunettes,
,,,,,,Fauvette pitchou,
,,,,,,Bruant des roseaux,
,,,,,,Bruant jaune,
,,,,,,Bruant ortolan,
,,,,,,Alouette des champs,
,,,,,,Alouette hausse-col,
,,,,,,Étourneau sansonnet,
,,,,,,Bergeronnette grise,
,,,,,,Bouvreuil pivoine,
,,,,,,Chardonneret élégant,
,,,,,,Coucou gris,
,,,,,,Gobemouche nain,
,,,,,,Grive draine,
,,,,,,Grive musicienne,
