id_mission,biome,num_question,bonne_reponse,id_oiseaux,URL_bonne_reponse,mauvaise_reponse,id_oiseaux
L03,Milieu littoral,1,Sterne caspienne,241,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FSterne%20caspienne.mp3?alt=media&token=19a3515b-ba9b-42c3-918c-3d9209f8e641,,241
L03,Milieu littoral,2,Guifette moustac,130,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FGuifette%20moustac.wav?alt=media&token=a127a603-aa2e-468e-a2c2-85c88db81518,,130
L03,Milieu littoral,3,Sterne arctique,240,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FSterne%20arctique.wav?alt=media&token=b864648e-28d3-482f-97e2-62ebe28f3041,,240
L03,Milieu littoral,4,Barge à queue noire,12,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FBarge%20%C3%A0%20queue%20noire.mp3?alt=media&token=10daf4ad-b317-4e7d-bfe1-e2014fbbf5cf,,12
L03,Milieu littoral,5,Bécassine des marais,19,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FB%C3%A9cassine%20des%20marais.mp3?alt=media&token=756f27e8-c77a-416c-bedf-51078026d387,,19
L03,Milieu littoral,6,Chevalier sylvain,56,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FChevalier%20sylvain.wav?alt=media&token=8a48ed5e-5886-4bec-85e1-4f1403eba3d2,,56
L03,Milieu littoral,7,Chevalier arlequin,52,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FChevalier%20arlequin.mp3?alt=media&token=3ccda9bc-5137-46d2-a544-7f1fa9050d44,,52
L03,Milieu littoral,8,Chevalier gambette,54,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FChevalier%20gambette.wav?alt=media&token=e179d479-b714-4f83-86ff-8fe6006e79dd,,54
L03,Milieu littoral,9,Combattant varié,67,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FCombattant%20vari%C3%A9.wav?alt=media&token=9e807c62-b685-4481-90b5-f84c48874235,,67
L03,Milieu littoral,10,Flamant rose,100,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FFlamant%20rose.wav?alt=media&token=a3d79fa6-dc9b-4c6e-bc80-46ce7dc45bac,,100
L03,Milieu littoral,11,Spatule blanche,239,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FSpatule%20blanche.wav?alt=media&token=484c9747-4c28-4539-8755-a95819fb43ec,,239
L03,Milieu littoral,12,Pluvier petit-gravelot,216,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPluvier%20petit-gravelot.wav?alt=media&token=858b9e4f-e954-4408-b066-b77cf91ff9e2,,216
L03,Milieu littoral,13,Bernache cravant,24,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FBernache%20cravant.mp3?alt=media&token=49f7a476-93f0-4984-bcc2-37fb23feeee9,,24
L03,Milieu littoral,14,Vanneau huppé,257,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FVanneau%20hupp%C3%A9.mp3?alt=media&token=c9a91d46-9178-4e7a-b2e9-edcd2cfdf575,,257
L03,Milieu littoral,15,Courlis cendré,74,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FCourlis%20cendr%C3%A9.wav?alt=media&token=a5966cdc-3127-4de4-b2c0-07e4f7c9910a,,74
,,,,,,Sterne caspienne,
,,,,,,Guifette moustac,
,,,,,,Sterne arctique,
,,,,,,Barge à queue noire,
,,,,,,Bécassine des marais,
,,,,,,Chevalier sylvain,
,,,,,,Chevalier arlequin,
,,,,,,Chevalier gambette,
,,,,,,Combattant varié,
,,,,,,Flamant rose,
,,,,,,Spatule blanche,
,,,,,,Pluvier petit-gravelot,
,,,,,,Bernache cravant,
,,,,,,Vanneau huppé,
,,,,,,Courlis cendré,
,,,,,,Chevalier aboyeur,
,,,,,,Chevalier cul-blanc,
,,,,,,Sterne pierregarin,
,,,,,,Chevalier guignette,
,,,,,,Barge rousse,
,,,,,,Bernache du Canada,
,,,,,,Bernache nonnette,
,,,,,,Courlis corlieu,
,,,,,,Guifette noire,
,,,,,,Pluvier à collier interrompu,
,,,,,,Sterne naine,
,,,,,,Bécasseau sanderling,
,,,,,,Bécasseau tacheté,
,,,,,,Bécasseau variable,
,,,,,,Bernache à cou roux,
