id_mission,biome,num_question,bonne_reponse,id_oiseaux,URL_bonne_reponse,mauvaise_reponse,id_oiseaux
H01,Milieu humide,1,Rousserolle effarvatte,233,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FRousserolle%20effarvatte.mp3?alt=media&token=cddaeb42-996e-4194-9c71-ed518c495e87,Rousserolle verderolle,233
H01,Milieu humide,2,Rousserolle turdoïde,234,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FRousserolle%20turdo%C3%AFde.wav?alt=media&token=1892e623-2204-4559-a7cd-9b694be31851,Rousserolle effarvatte,234
H01,Milieu humide,3,Phragmite aquatique,191,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPhragmite%20aquatique%20(2).mp3?alt=media&token=8e66da01-75fa-4608-b024-7ba3a88723f7,Phragmite des joncs,191
H01,Milieu humide,4,Fauvette babillarde,95,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FFauvette%20babillarde.wav?alt=media&token=f6c351d1-4888-4c3d-932c-85691afa45d6,Rousserolle turdoïde,95
H01,Milieu humide,5,Locustelle luscinioïde,153,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FLocustelle%20luscinio%C3%AFde.wav?alt=media&token=c4d12abf-fb69-4e56-bf8d-835336b63e8c,Phragmite aquatique,153
H01,Milieu humide,6,Locustelle tachetée,154,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FLocustelle%20tachet%C3%A9e.mp3?alt=media&token=ba79fe37-c0f8-4649-a868-eb7fc0b51ea7,Fauvette grisette,154
H01,Milieu humide,7,Bruant des roseaux,33,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FBruant%20des%20roseaux.wav?alt=media&token=663c6efc-6ed3-4754-bb41-f17656b5583c,Fauvette babillarde,33
H01,Milieu humide,8,Panure à moustaches,185,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPanure%20%C3%A0%20moustaches.mp3?alt=media&token=c16c4b3d-84d1-4838-9fad-d6a879e0c27a,Locustelle luscinioïde,185
H01,Milieu humide,9,Gorgebleue à miroir,116,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FGorgebleue%20%C3%A0%20miroir%20song.mp3?alt=media&token=d65aeda6-bd8b-4a4d-b1e0-c374ddc18b8b,Locustelle fluviatile,116
H01,Milieu humide,10,Bouscarle de Cetti,30,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FBouscarle%20de%20Cetti%20bis.wav?alt=media&token=84a7844d-25d8-4b61-8801-e9f4c2f2e3b4,Locustelle tachetée,30
,,,Râle d'eau,222,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FR%C3%A2le%20d'eau.wav?alt=media&token=7ef2492c-c328-4184-a140-b67e2c99f52a,Bruant des roseaux,222
,,,Grèbe castagneux,121,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FGr%C3%A8be%20castagneux.wav?alt=media&token=8cb4d6f1-5009-4a24-851f-0fd7dc9d3f5f,Bruant des neiges,121
,,,Sarcelle d'été,235,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FSarcelle%20d'%C3%A9t%C3%A9.wav?alt=media&token=cb7c7848-c0ae-4637-8382-aeb0a61e7768,Panure à moustaches,235
,,,Sarcelle d'hiver,236,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FSarcelle%20d'hiver.wav?alt=media&token=a55e20c8-84a1-415a-9495-20f659e65bb3,Gorgebleue à miroir,236
,,,Bihoreau gris,27,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FBihoreau%20gris.wav?alt=media&token=cd0170b4-10a5-4302-9a7d-5504b4712c8d,Hypolaïs ictérine,27
,,,,,,Hypolaïs polyglotte,
,,,,,,Bouscarle de Cetti,
,,,,,,Troglodyte mignon,
,,,,,,Râle d'eau,
,,,,,,Marouette ponctuée,
,,,,,,Grèbe castagneux,
,,,,,,Sarcelle d’hiver,
,,,,,,Sarcelle d’été,
,,,,,,Bihoreau gris,
,,,,,,Blongios nain,
,,,,,,Butor étoilé,
,,,,,,Poule d’eau,
,,,,,,Gallinule poule-d’eau,
,,,,,,Canard chipeau,
,,,,,,Rousserolle isabelle,
,,,,,,Bergeronnette printanière,
