id_mission,biome,num_question,bonne_reponse,id_oiseaux,URL_bonne_reponse,mauvaise_reponse,id_oiseaux
H03,Milieu humide,1,Héron pourpré,137,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FH%C3%A9ron%20pourpr%C3%A9.wav?alt=media&token=9aa9c7d8-a335-4d5c-a3be-4f28360001df,,137
H03,Milieu humide,2,Butor étoilé,42,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FButor%20%C3%A9toil%C3%A9.wav?alt=media&token=56d4c19b-1e1a-4d6e-bc7f-804cd5249029,,42
H03,Milieu humide,3,Blongios nain,28,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FBlongios%20nain.mp3?alt=media&token=093add2b-5685-4398-b2c0-d50e0f1bc39b,,28
H03,Milieu humide,4,Râle d'eau,222,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FR%C3%A2le%20d'eau.wav?alt=media&token=7ef2492c-c328-4184-a140-b67e2c99f52a,,222
H03,Milieu humide,5,Gorgebleue à miroir,116,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FGorgebleue%20%C3%A0%20miroir%20song.mp3?alt=media&token=d65aeda6-bd8b-4a4d-b1e0-c374ddc18b8b,,116
H03,Milieu humide,6,Locustelle luscinioïde,153,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FLocustelle%20luscinio%C3%AFde.wav?alt=media&token=c4d12abf-fb69-4e56-bf8d-835336b63e8c,,153
H03,Milieu humide,7,Cisticole des joncs,64,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FCisticole%20des%20joncs.wav?alt=media&token=95d8cad1-152f-438a-a91f-fdaa34ad9bab,,64
H03,Milieu humide,8,Phragmite des joncs,192,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPhragmite%20des%20joncs.wav?alt=media&token=bc506b96-6092-4b9f-9655-3a921726b5b0,,192
H03,Milieu humide,9,Rousserolle effarvatte,233,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FRousserolle%20effarvatte.mp3?alt=media&token=cddaeb42-996e-4194-9c71-ed518c495e87,,233
H03,Milieu humide,10,Bruant des roseaux,33,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FBruant%20des%20roseaux.wav?alt=media&token=663c6efc-6ed3-4754-bb41-f17656b5583c,,33
H03,Milieu humide,11,Rémiz penduline,224,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FR%C3%A9miz%20penduline.mp3?alt=media&token=ebb7922f-2f63-4760-8a1f-c7c5f0846f42,,224
H03,Milieu humide,12,Marouette ponctuée,159,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FMarouette%20ponctu%C3%A9e%20(2).wav?alt=media&token=8a270d1d-f66d-43db-b7bc-c397aa3ba83c,,159
H03,Milieu humide,13,Râle des genêts,223,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FR%C3%A2le%20des%20gen%C3%AAts.wav?alt=media&token=e77e8eab-6fb0-4f95-9589-21a7d7600d03,,223
H03,Milieu humide,14,Pouillot siffleur,261,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPouillot%20siffleur.mp3?alt=media&token=2a6f3b65-365b-4880-b5b7-ba746c79f745,,261
H03,Milieu humide,15,Bécassine des marais,19,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FB%C3%A9cassine%20des%20marais.mp3?alt=media&token=756f27e8-c77a-416c-bedf-51078026d387,,19
,,,,,,Héron pourpré,
,,,,,,Butor étoilé,
,,,,,,Blongios nain,
,,,,,,Râle d'eau,
,,,,,,Gorgebleue à miroir,
,,,,,,Locustelle luscinioïde,
,,,,,,Cisticole des joncs,
,,,,,,Phragmite des joncs,
,,,,,,Rousserolle effarvatte,
,,,,,,Bruant des roseaux,
,,,,,,Rémiz penduline,
,,,,,,Marouette ponctuée,
,,,,,,Râle des genêts,
,,,,,,Pouillot siffleur,
,,,,,,Bécassine des marais,
,,,,,,Phragmite aquatique,
,,,,,,Rousserolle turdoïde,
,,,,,,Héron cendré,
,,,,,,Locustelle tachetée,
,,,,,,Bécasse des bois,
,,,,,,Bergeronnette des ruisseaux,
,,,,,,Canard colvert,
,,,,,,Canard mandarin,
,,,,,,Cigogne blanche,
,,,,,,Cygne tuberculé,
,,,,,,Grande Aigrette,
,,,,,,Hirondelle de rivage,
,,,,,,Roitelet huppé,
,,,,,,Bruant des neiges,
,,,,,,Héron garde-bœufs,
