id_mission,biome,num_question,bonne_reponse,id_oiseaux,URL_bonne_reponse,mauvaise_reponse
F01,Milieu forestier,1,Milan noir,172,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FMilan%20noir%20BIS.wav?alt=media&token=62ba62ed-757c-4e31-8b2a-a8617f1818c8,Milan noir
F01,Milieu forestier,2,Grimpereau des jardins,123,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FGrimpereau%20des%20jardins.wav?alt=media&token=0b3d47b2-a061-4757-9d93-acd7875c7708,Sittelle torchepot
F01,Milieu forestier,3,Pinson du Nord,206,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPinson%20du%20Nord.wav?alt=media&token=88669eb5-ec99-478f-a61c-b1f01317de42,Pinson du Nord
F01,Milieu forestier,4,Coucou gris,73,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FCoucou%20gris.mp3?alt=media&token=cdadd005-4b86-40ca-887a-5098c411f07c,Coucou gris
F01,Milieu forestier,5,Roselin cramoisi,228,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FRoselin%20cramoisi.mp3?alt=media&token=2f07115c-94d9-4c1d-9e81-6c3417419eab,Roselin cramoisi
F01,Milieu forestier,6,Sittelle torchepot,238,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FSittelle%20torchepot.wav?alt=media&token=09d4180b-319f-4e14-896b-5e84072e551f,Coucou geai
F01,Milieu forestier,7,Bondrée apivore,29,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FBondr%C3%A9e%20apivore.mp3?alt=media&token=fffdf1ac-aa69-4b51-a785-30a2e94e4636,Gros-bec casse-noyaux
F01,Milieu forestier,8,Coucou geai,72,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FCoucou%20geai.wav?alt=media&token=69150040-1504-4d33-97ce-93b567965b13,Torcol fourmilier
F01,Milieu forestier,9,Gobemouche nain,109,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FGobemouche%20nain.wav?alt=media&token=d5d2f099-0d3a-4bd0-b6dc-42c2c844b832,Fauvette à tête noire
F01,Milieu forestier,10,Gros-bec casse-noyaux,127,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FGros-bec%20casse-noyaux.mp3?alt=media&token=d756f781-0acb-476f-84dc-746599806e1b,Accenteur mouchet
,,,Torcol fourmilier,263,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FTorcol%20fourmilier.mp3?alt=media&token=a3c1c53e-2b16-413f-83bf-4ec7634c9fbd,Pouillot véloce
,,,Pic épeichette,194,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPic%20%C3%A9peichette.mp3?alt=media&token=80fe1551-4738-4196-8397-6924bdbfc2e6,Gobemouche gris
,,,Mésange nonnette,171,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FM%C3%A9sange%20nonnette.wav?alt=media&token=482ef77d-40ca-4223-90ee-30fe8c2a8649,Rossignol philomèle
,,,Milan royal,173,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FMilan%20royal.mp3?alt=media&token=4d0bd781-bdc6-4910-9fa9-97fd7830bcfa,Troglodyte mignon
,,,Pic épeiche,193,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPic%20%C3%A9peiche.wav?alt=media&token=cb86e620-c820-46e3-a3dd-6559ce83e57a,Fauvette des jardins
,,,,,,Pic épeiche
,,,,,,Grimpereau des jardins
,,,,,,Mésange huppée
,,,,,,Roitelet huppé
,,,,,,Fauvette grisette
,,,,,,Gobemouche noir
,,,,,,Rouge-gorge familier
,,,,,,Loriot d’Europe
,,,,,,Mésange noire
,,,,,,Geai des chênes
