id_mission,biome,num_question,bonne_reponse,id_oiseaux,URL_bonne_reponse,mauvaise_reponse
U02,Milieu urbain,1,Merle noir,164,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FMerle%20noir.mp3?alt=media&token=6658496a-f54d-43b7-af40-708da97e7412,Rossignol philomèle
U02,Milieu urbain,2,Rouge-gorge familier,230,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FRouge-gorge%20familier%20song.mp3?alt=media&token=95b1b870-f68d-44eb-a04b-903609eadf8c,Choucas des tours
U02,Milieu urbain,3,Pinson des arbres,205,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPinson%20des%20arbres.mp3?alt=media&token=90418a28-4997-498c-9836-1c3d138fd863,Rougequeue noir
U02,Milieu urbain,4,Troglodyte mignon,256,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FTroglodyte%20mignon.mp3?alt=media&token=5a901c82-f986-4297-8a98-2547c8112588,Geai des chênes
U02,Milieu urbain,5,Grive musicienne,126,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FGrive%20musicienne.wav?alt=media&token=c1bdb085-525c-461d-932e-aa3dabfc6cb8,Fauvette mélanocéphale
U02,Milieu urbain,6,Accenteur mouchet,2,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FAccenteur%20mouchet.wav?alt=media&token=857c3c5d-5a7f-43d5-96ae-662404d9c6bf,Fauvette des jardins
U02,Milieu urbain,7,Alouette calandre,5,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FAlouette%20calandre.wav?alt=media&token=7ac6bb8a-7968-4223-a21e-7154d8cbd490,Gobemouche gris
U02,Milieu urbain,8,Cochevis huppé,65,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FCochevis%20hupp%C3%A9.wav?alt=media&token=5ee6a108-a418-497d-b27f-d8596fa97b55,Martinet noir
U02,Milieu urbain,9,Pouillot véloce,218,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPouillot%20v%C3%A9loce.wav?alt=media&token=f7848dfc-503a-4db8-ab8f-63c6cf7d0218,Tourterelle turque
U02,Milieu urbain,10,Pouillot fitis,217,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPouillot%20fitis.wav?alt=media&token=7d89cd99-bba8-4c40-abed-479b2ef045f9,Pigeon biset
,,,Huppe fasciée,147,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FHuppe%20fasci%C3%A9e.mp3?alt=media&token=371ce8cf-e994-4ab9-b2d6-0e0d218c3b1a,Tourterelle des bois
,,,Fauvette à tête noire,94,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FFauvette%20%C3%A0%20t%C3%AAte%20noire.mp3?alt=media&token=49f4762c-0f12-4cd5-b950-52a6d0899b4a,Moineau friquet
,,,Bergeronnette grise,21,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FBergeronnette%20grise.mp3?alt=media&token=a3a4a529-fcc4-4b46-aab2-5ccb19a62ac6,Corneille noire
,,,Faucon crécerelle,90,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FFaucon%20cr%C3%A9cerelle.wav?alt=media&token=63046804-e4d9-40c6-ae17-d26fed5d35a4,Goéland argenté
,,,Chardonneret élégant,50,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FChardonneret%20%C3%A9l%C3%A9gant.wav?alt=media&token=12e0f3df-cf38-4438-a40f-a8d62711a11c,Bergeronnette des ruisseaux
,,,,,,Verdier d’Europe
,,,,,,Linotte mélodieuse
,,,,,,Pouillot siffleur
,,,,,,Grive draine
,,,,,,Grive mauvis
,,,,,,Serin cini
,,,,,,Mésange bleue
,,,,,,Huppe fasciée
,,,,,,Rouge-gorge familier
,,,,,,Merle noir
,,,,,,Fauvette à tête noire
,,,,,,Grive musicienne
,,,,,,Troglodyte mignon
,,,,,,Pouillot fitis
,,,,,,Pinson des arbres
