id_mission,biome,num_question,bonne_reponse,id_oiseaux,URL_bonne_reponse,mauvaise_reponse
U03,Milieu urbain,1,Troglodyte mignon,256,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FTroglodyte%20mignon.mp3?alt=media&token=5a901c82-f986-4297-8a98-2547c8112588,Rougequeue noir
U03,Milieu urbain,2,Accenteur mouchet,2,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FAccenteur%20mouchet.wav?alt=media&token=857c3c5d-5a7f-43d5-96ae-662404d9c6bf,Rossignol philomèle
U03,Milieu urbain,3,Rouge-gorge familier,230,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FRouge-gorge%20familier%20song.mp3?alt=media&token=95b1b870-f68d-44eb-a04b-903609eadf8c,Grimpereau des jardins
U03,Milieu urbain,4,Fauvette à tête noire,94,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FFauvette%20%C3%A0%20t%C3%AAte%20noire.mp3?alt=media&token=49f4762c-0f12-4cd5-b950-52a6d0899b4a,Geai des chênes
U03,Milieu urbain,5,Fauvette grisette,97,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FFauvette%20grisette.mp3?alt=media&token=81e754c2-30cd-41e6-b9c7-42dd12037499,Moineau friquet
U03,Milieu urbain,6,Grive musicienne,126,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FGrive%20musicienne.wav?alt=media&token=c1bdb085-525c-461d-932e-aa3dabfc6cb8,Gobemouche gris
U03,Milieu urbain,7,Merle noir,164,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FMerle%20noir.mp3?alt=media&token=6658496a-f54d-43b7-af40-708da97e7412,Tourterelle des bois
U03,Milieu urbain,8,Pinson des arbres,205,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPinson%20des%20arbres.mp3?alt=media&token=90418a28-4997-498c-9836-1c3d138fd863,Huppe fasciée
U03,Milieu urbain,9,Chardonneret élégant,50,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FChardonneret%20%C3%A9l%C3%A9gant.wav?alt=media&token=12e0f3df-cf38-4438-a40f-a8d62711a11c,Corneille noire
U03,Milieu urbain,10,Verdier d'Europe,258,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FVerdier%20d'Europe.wav?alt=media&token=8e2869f9-251a-45fe-8ab8-26ad260d98c0,Choucas des tours
,,,Linotte mélodieuse,,lien manquant,Pigeon ramier
,,,Serin cini,237,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FSerin%20cini.mp3?alt=media&token=38c3552a-66b2-46b9-aa00-152313af481a,Fauvette mélanocéphale
,,,Moineau domestique,174,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FMoineau%20domestique.wav?alt=media&token=9b746e1f-4595-4bcd-80c6-d809bb83b985,Fauvette des jardins
,,,Pouillot véloce,218,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPouillot%20v%C3%A9loce.wav?alt=media&token=f7848dfc-503a-4db8-ab8f-63c6cf7d0218,Mésange huppée
,,,Pouillot fitis,217,https://firebasestorage.googleapis.com/v0/b/birdify-df029.firebasestorage.app/o/Birds%2FPouillot%20fitis.wav?alt=media&token=7d89cd99-bba8-4c40-abed-479b2ef045f9,Pouillot siffleur
,,,,,,Faucon crécerelle
,,,,,,Grive draine
,,,,,,Grive mauvis
,,,,,,Bergeronnette des ruisseaux
,,,,,,Bergeronnette grise
,,,,,,Mésange noire
,,,,,,Pouillot de Pallas
,,,,,,Linotte mélodieuse
,,,,,,Serin cini
,,,,,,Chardonneret élégant
,,,,,,Accenteur mouchet
,,,,,,Verdier d’Europe
,,,,,,Merle noir
,,,,,,Troglodyte mignon
,,,,,,Moineau domestique
